19.7,0,0.9,0.59,11.4,8.4,0.891
19.6,0,0.3,0.6,11.6,8.1,0.858
18.3,0,0.6,0.71,12.9,7.8,0.611
17.8,0,0.8,0.75,13.3,7.6,0.541
17.7,0,0.5,0.74,12.9,7.4,0.557
18.3,0,0.6,0.76,13.9,6.8,0.515
20.7,0,0.5,0.65,13.8,6.5,0.646
22.6,0,0.8,0.52,12.2,6.4,1.27
24.3,0,1,0.49,12.8,6.2,1.484
25.2,0,1.5,0.41,11,5.6,2.814
26.2,0,2.4,0.36,9.9,4.3,3.807
27.1,0,2.1,0.34,9.8,3.8,3.275
27.2,0,2.6,0.37,11.2,2.5,2.596
27,0,1.9,0.4,12.2,2.6,2.103
26,0,2.4,0.43,12.4,2.1,2.258
26.1,0,2,0.42,12.1,1.9,2.114
25.9,0,1.9,0.45,13,1.6,2.184
23.7,0,2.8,0.58,14.9,2.3,0.815
22.5,0,2.4,0.59,14,2.9,0.83
21.7,0,2.3,0.62,14,3.5,0.81
21.1,0,1.8,0.63,13.7,4,0.814
21.1,0,0.9,0.61,13.2,3.9,0.926
20.7,0,0.8,0.65,13.8,3.9,0.96
18.1,0,1.1,0.87,15.8,4,0.199
18,0.1,0.8,0.91,16.5,4,0.162
18,0.5,1.1,0.92,16.6,3.6,0.193
18.2,0,1.1,0.91,16.7,3.6,0.44
18.2,0,1,0.89,16.3,3.3,0.884
18.3,0,1.5,0.88,16.2,3.8,1.189
18.6,0,0.8,0.85,16,3.8,1.845
19.6,0,2,0.74,14.8,4.3,2
20.7,0,2.1,0.61,12.9,4.5,2.775
22.7,0,2.1,0.52,12.3,3.9,3.408
23.2,0,3.4,0.42,9.5,3.8,4.785
24.5,0,3.3,0.36,8.4,3.6,5.118
24.9,0,4.2,0.28,5.1,3.6,2.886
25.5,0,3.9,0.24,3.4,3.3,4.507
26,0,3.5,0.26,4.9,2.8,3.272
26,0,3.8,0.19,0.5,2.5,1.544
25.7,0,3.3,0.2,1,2,2.383
24.7,0,2.6,0.3,5.9,2.7,1.196
23.7,0,2.1,0.3,5,2.6,4.193
22.2,0,1.6,0.33,5.1,3.6,2.967
21.1,0,1.5,0.37,5.8,3.6,1.957
19.6,0,0.9,0.46,7.6,4.1,5.294
18.9,0,1.2,0.5,8.2,4,5.529
18.3,0,1.1,0.51,7.9,3.9,5.6
17.3,0,1.3,0.56,8.4,3.8,5
16.8,0,0.8,0.58,8.4,3.7,5.121
16.7,0,0.9,0.59,8.6,3.3,4.571
16.5,0,0.7,0.62,9.1,2.9,3.346
15.9,0,0.5,0.67,9.7,3,2.291
16.2,0,0.1,0.7,10.7,3.3,1.374
16.7,0,1.3,0.69,10.9,4.1,2.219
17,0,0.8,0.71,11.6,4.2,1.299
18.3,0,0.8,0.61,10.6,3.3,1.854
19.5,0,1.4,0.58,11,3.1,1.264
21,0,1.3,0.53,11,3.3,1.974
22.2,0,1.1,0.4,7.9,3,2.785
21.7,0,2.4,0.41,7.8,3.4,2.923
21.7,0,3.4,0.43,8.5,-0.1,3.804
23.7,0,2.9,0.31,5.5,-1.3,3.381
23.4,0,2.3,0.32,5.7,-1.4,5.279
23.5,0,1.7,0.34,6.7,-1.6,5.494
21.7,0.6,1,0.47,9.8,-1.6,4.541
21.7,0,1.1,0.47,9.8,-1.2,5.199
21.5,0,0.7,0.52,11.2,-0.9,3.708
